SMILES,molecular_weight,logP,pKa,solubility,permeability,plasma_protein_binding,fu_in_vitro
CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,,,,,,96.0,
CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C,407.571 g/mol,,,,,98.0,
CC(C)(C)NCC1=CC(=C2CCCCC2=C1O)NC3=C4C=CC(=CC4=NC=C3)Cl,409.9582 g/mol,6.08,,,,,
CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C,441.57 g/mol,0.93,7.89,,,64.0,
CC(C)[C@@H](C(=O)N1CCC[C@H]1C2=NC=C(N2)C3=CC=C(C=C3)C4=CC=C(C=C4)C5=CN=C(N5)[C@@H]6CCCN6C(=O)[C@H](C(C)C)NC(=O)OC)NC(=O)OC,738.885 g/mol,,,,,99.0,
C[N+]1(CCCC1)CC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)SC2)C(=O)[O-],480.5676 g/mol,,,,,20.0,
C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3C[C@H](NC3)CNS(=O)(=O)N)C(=O)O)[C@@H](C)O,420.50 g/mol,,,,,8.0,
C1CN(C=CC1=O)C2=C(C=C(C(=C2F)F)N3C[C@@H](OC3=O)CNC4=NOC=C4)F,408.3345 g/mol,,,,,90.0,
COC1=CC=CC(=C1)NC2=NC=NN3C2=C(C=C3)CN4CC[C@H]([C@@H](C4)O)N,368.4386 g/mol,1.53,4.3,,5.84,,
CC1=C2C(=C(N(C1=O)C)NC3=C(C=C(C=C3)I)F)C(=O)N(C(=O)N2C4=CC=CC(=C4)NC(=O)C)C5CC5,693.53 g/mol,4.99,0.25,,,96.2,
CN1CCC(CC1)COC2=CN=C(N=C2)C3=CC=CC(=C3)CN4C(=O)C=CC(=N4)C5=CC=CC(=C5)C#N,492.5802 g/mol,,9.5,0.55,,98.0,
CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)C,371.39 g/mol,,,,,28.0,
CC1=C(C2=C(O1)C=C(C=C2)OC3=NC=NC4=CC(=C(C=C43)OC)OC)C(=O)NC,393.39 g/mol,4.26,2.78,0.0007,30.0,95.3,0.05
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@H](C[C@H](CC(=O)O)O)O)O,424.53 g/mol,1.6,4.2,21.5,,45.5,
C[C@H](C1=NC=C(S1)C(=O)NC2=NC=C(C(=C2)C(F)(F)F)Cl)NC(=O)C3=C(C(=NC=N3)N)Cl,506.285 g/mol,3.63,10.29],,43.6,97.5,
C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3C[C@H](NC3)C(=O)N(C)C)C(=O)O)[C@@H](C)O,437.52 g/mol,,,,,2.0,
CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)N=[N+]=[N-],267.244 g/mol,,,,,38.0,
CCCCCCO[C@@H](C)C1=CC=CC(=C1OC)C2=CSC(=N2)NC(=O)C3=CC(=C(C(=C3)Cl)/C=C(\C)/C(=O)O)Cl,591.5 g/mol,,,,,99.9,
CC1=CC(=CC(=C1C2=CC=CC(=C2)COC3=CC4=C(C=C3)[C@@H](CO4)CC(=O)O)C)OCCCS(=O)(=O)C,524.6 g/mol,,,,,99.4,
C1CCC2=C(CC1)C(=O)OC3=C2C=CC(=C3)OS(=O)(=O)N,309.3405 g/mol,,,,,98.7,
CCCCCCC(C)(C)C1=CC(=C2[C@@H]3CC(=CC[C@H]3C(OC2=C1)(C)C)C(=O)O)O,400.5554 g/mol,1.84,5.13,,8.17,99.0,
CN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)O)O4)O,337.80 g/mol,,,,,30.0,
CC(=O)NCCC1=CC=CC2=C1C=C(C=C2)OC,243.304 g/mol,,,,,95.0,
CC1=C(NC(=O)N1)C(=O)C2=CC=C(C=C2)SC,248.305 g/mol,,,,,59.0,
CN(C)CC/C=C/1\C2=CC=CC=C2COC3=CC=CC=C31,279.4 g/mol,,8.96,0.934,17.7,82.0,
C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,217.288 g/mol,,,,,25.0,
CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O,654.602 g/mol,,,,,93.0,
CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,263.382 g/mol,,9.7,,,92.0,
CC(C)(C)C1=NC(=C(S1)C2=NC(=NC=C2)N)C3=C(C(=CC=C3)NS(=O)(=O)C4=C(C=CC=C4F)F)F,519.57 g/mol,2.9,6.6,,,99.7,
CCOC1=CC(=C(C=C1C(=O)NCC2CN(CCO2)CC3=CC=C(C=C3)F)Cl)N,421.8975 g/mol,,,,,97.0,
CN(CC(=O)O)C(=S)C1=CC=CC2=C1C=CC(=C2C(F)(F)F)OC,357.3506 g/mol,,,,,74.5,
CC1=CN=C(S1)NC(=O)C2=C(C3=CC=CC=C3S(=O)(=O)N2C)O,351.4 g/mol,3,4.08,,,99.4,
